table_name
agents
alternates_parts_master
alternate_type_codes
application_codes
approval_codes
ap_account
ap_detail
ar_account
ar_detail
billing_groups
buy_detail
buy_plan_codes
ck_detail
class_codes
company_agents
company_consignment
company_merge_trail
cq_source
cr_detail
delivery_terms
exchange
invc_detail
markup_codes
ship_via_codes
delivery_codes
manual_status
sm_detail
wo_quote_status
company_sites
country_codes
cr_header
pn_type_codes
rma_reason
warning_types
sm_status
wo_work_type
cert_source
cq_header
part_condition_codes
pn_uom
company_rolodex
gl_account
gl_period
purchase_sales
qt_category_codes
rolodex
ro_status_history
invc_header
timelife
user_defined_attributes
vq_header
wo_action
wo_status_history
wo_task_labor
warehouse_locations
so_detail
wo_bom_status
stock
capability_codes
ck_header
company_part_capability
cq_status_change
discount_codes
gl_batch
purchase_wo
geo_codes
manuals
ro_header
sm_status_change
billing_group_master
cq_status
manual_type
po_detail
gl_trans
ro_piece_parts
rc_detail
ship_method
call_list
company_list
department
ils_flag_codes
pn_groups
companies
gl_segment
list_master
manual_tools
po_status
rc_header
rma_log
rma_status
so_category_codes
manual_parts
part_application_codes
sm_hold_reason
uda_checked
vq_detail
warehouse_level
wo_skills
wo_task_type
lot_charge
pr_detail
rc_status
so_status
stock_adjust
vq_line
wo_quote_header
wo_task_instructions
wo_task_master
gl_distribution
image_codes
lot_transfers
po_status_history
pr_header
repair_wo
pr_status_history
uda_value_list
uom_codes
wo_manual
location
stock_reservations
so_status_history
wo_bom
position_ref
rr_detail
image_list
ro_detail
manufacturer
sm_package_detail
salesperson
kit_components
division
consignment_codes
cq_detail
ro_category_codes
wo_task
class_flags
parts_master
stock_category_codes
po_header
sm_header
rc_audit_log
so_header
wo_bom_status_type
wo_stm_complete
stock_ti
parts_catalog
term_codes
wip_audit_log
sys_users
wo_status
ship_via_accounts
wo_task_skills
wo_task_status
ro_status
wo_quote_detail
tax_table
wo_operation
wo_work_center
rma_status_history
rr_header
po_category_codes
rc_disp_codes
warehouse
